,STATION,DATE,TAVG,TMIN,TMAX,AWND,WSF2,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,bad_conditions,rating
0,USW00014765,2005-01-01,44.0,35,53,8.95,25.1,1.0,,,,,,,,,,,1.0,,,,,,,,,2,bad
1,USW00014765,2005-01-02,36.0,28,44,9.4,14.1,,,,,,,,,,,,,,,1.0,,1.0,,,,2,bad
2,USW00014765,2005-01-03,49.0,44,53,6.93,17.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,3,bad
3,USW00014765,2005-01-04,42.0,39,45,6.93,16.1,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,4,bad
4,USW00014765,2005-01-05,36.0,28,43,7.83,17.0,1.0,,,,,,,,,,,1.0,,,1.0,,1.0,,,,4,bad
5,USW00014765,2005-01-06,30.0,25,35,8.72,15.0,1.0,,,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,9,worse
6,USW00014765,2005-01-07,33.0,28,37,8.72,23.9,1.0,,,,,,,,,,,1.0,,,,,,,,,2,bad
7,USW00014765,2005-01-08,32.0,29,34,6.04,17.0,1.0,,,1.0,,,,,,,,1.0,1.0,,1.0,,1.0,,,,6,worse
8,USW00014765,2005-01-09,31.0,28,34,6.04,15.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,3,bad
9,USW00014765,2005-01-10,37.0,31,43,6.71,17.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,3,bad
10,USW00014765,2005-01-11,34.0,30,38,5.37,10.1,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,3,bad
11,USW00014765,2005-01-12,33.0,29,37,7.61,10.1,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,8,worse
12,USW00014765,2005-01-13,46.0,33,59,6.49,30.0,1.0,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,5,worse
13,USW00014765,2005-01-14,48.0,33,62,17.9,40.0,1.0,,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,5,worse
14,USW00014765,2005-01-15,29.0,25,33,6.71,17.9,,,,,,,,,,,,,,,,,,,,,0,good
